timestamp,model,version,overall_status,numeric_features,drift_features,moderate_drift_features,no_drift_features,drift_percentage,mean_psi,categorical_drift_features,current_mae,current_rmse,current_r2,registered_rmse,rmse_alert_threshold,performance_status
2026-08-23T13:22:01.127057+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-24T02:23:44.132428+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-25T02:19:22.974188+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-26T02:25:53.161135+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-27T10:58:55.944505+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-28T12:34:12.953182+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-29T07:43:06.982062+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-30T06:19:19.105863+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-08-31T06:46:32.415756+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-09-01T06:05:49.158248+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-09-02T05:31:41.314569+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-09-03T05:32:26.403854+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-09-04T05:37:28.869545+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
2026-09-05T05:21:23.503339+00:00,LightGBM,v1,DRIFT_DETECTED,28,10,10,8,35.71,0.809088,1,4.19393551981666,6.769140106297624,0.9663587320437662,6.7691,30.0,NORMAL
